Title;Year;Country;Genre;IMDB;Score;directors;primaryName
Old;2021;USA;Horror;tt10954652;7.25;nm0796117;M. Night Shyamalan
Candyman;2021;USA;Horror;tt9347730;8;nm4804442;Nia DaCosta
Malignant;2021;USA;Horror;tt3811906;7.5;nm1490123;James Wan
CODA;2021;USA;Drama;tt10366460;7.75;nm1571761;Sian Heder
Don't Breathe 2;2021;USA;Thriller;tt6246322;7;nm2140186;Rodo Sayagues
No Man of God;2021;USA;Drama;tt13507778;7.5;nm0780547;Amber Sealey
Reminiscence;2021;USA;SciFi;tt3272066;7;nm2847370;Lisa Joy
The Green Knight;2021;USA;Fantasy;tt9243804;7.75;nm1108007;David Lowery
Pig;2021;USA;Drama;tt11003218;8;nm3968825;Michael Sarnoski
A Classic Horror Story;2021;Italy;Horror;tt12877640;7.5;nm3248608;Roberto De Feo
No Sudden Move;2021;USA;Crime;tt11525644;7;nm0001752;Steven Soderbergh
Judas and the Black Messiah;2021;USA;Politics;tt9784798;8.25;nm3489851;Shaka King
Wrath of Man;2021;UK;Action;tt11083552;7.5;nm0005363;Guy Ritchie
The Night House;2020;USA;Horror;tt9731534;7.25;nm1410159;David Bruckner
Promising Young Woman;2020;USA;Thriller;tt9620292;7.5;nm2193504;Emerald Fennell
Riders of Justice;2020;Denmark;Action;tt11655202;7.25;nm0421314;Anders Thomas Jensen
Archive;2020;UK;SciFi;tt6882604;7;nm2707210;Gavin Rothery
Another Round;2020;Denmark;Drama;tt10288566;8.25;nm0899121;Thomas Vinterberg
Quo Vadis, Aida?;2020;Bosnia and Herzegovina;Historical;tt8633462;8.25;nm1120092;Jasmila Zbanic
Dear Comrades!;2020;Russia;Historical;tt10796286;7.5;nm0464846;Andrey Konchalovskiy
Host;2020;USA;Horror;tt12749596;7.25;nm3699074;Rob Savage
The Dry;2020;Australia;Crime;tt5144174;7;nm0175352;Robert Connolly
Night in Paradise;2020;South Korea;Crime;tt12792418;7.5;nm4219902;Park Hoon-Jung
The Empty Man;2020;USA;Horror;tt5867314;7.75;nm0697936;David Prior
The Father;2020;UK;Drama;tt10272386;8;nm1725469;Florian Zeller
Alone;2020;USA;Thriller;tt7711170;7.75;nm0404882;John Hyams
Mank;2020;USA;Drama;tt10618286;7.75;nm0000399;David Fincher
Soul;2020;USA;Comedy;tt2948372;8.25;nm0230032;Pete Docter
Tenet;2020;USA;Thriller;tt6723592;7.5;nm0634240;Christopher Nolan
The Invisible Man;2020;USA;Thriller;tt1051906;7.5;nm1191481;Leigh Whannell
His House;2020;UK;Horror;tt8508734;7.5;nm3676311;Remi Weekes
Mangrove;2020;UK;Historical;tt10551100;9;nm2588606;Steve McQueen
The Swordsman;2020;South Korea;Action;tt7035004;7.25;nm9075613;Jae-Hoon Choi
Nomadland;2020;USA;Drama;tt9770150;7.25;nm2125482;Chloé Zhao
Us;2019;USA;Horror;tt6857112;7.5;nm1443502;Jordan Peele
Avengers: Endgame;2019;USA;Action;tt4154796;7;nm0751577;Anthony Russo
Uncut Gems;2019;USA;Thriller;tt5727208;7;nm1509478;Safdie Brothers
Light of My Life;2019;USA;Dystopia;tt6063090;8;nm0000729;Casey Affleck
John Wick 3;2019;USA;Action;tt6146586;7.5;nm0821432;Chad Stahelski
Ad Astra;2019;USA;SciFi;tt2935510;8;nm0336695;James Gray
Bacurau;2019;Brazil;Dystopia;tt2762506;7.5;nm2207625;Kleber Mendonça Filho
Jojo Rabbit;2019;USA;Comedy;tt2584384;7.5;nm0169806;Taika Waititi
The Lighthouse;2019;USA;Horror;tt7984734;8.75;nm3211470;Robert Eggers
Once Upon a Time in Hollywood;2019;USA;Drama;tt7131622;9;nm0000233;Quentin Tarantino
Joker;2019;USA;Drama;tt7286456;9.25;nm0680846;Todd Phillips
The King;2019;UK;Historical;tt7984766;8;nm2391575;David Michôd
Dr. Sleep;2019;USA;Horror;tt5606664;8;nm1093039;Mike Flanagan
Dolor y Gloria;2019;Spain;Drama;tt8291806;7;nm0000264;Pedro Almodóvar
Midsommar, Director's Cut;2019;USA;Horror;tt8772262;7.75;nm4170048;Ari Aster
Parasite;2019;South Korea;Drama;tt6751668;9.25;nm0094435;Bong Joon Ho
The Hole in the Ground;2019;Ireland;Horror;tt6198946;7;nm2091846;Lee Cronin
El Hoyo;2019;Spain;Dystopia;tt8228288;7;nm2008067;Galder Gaztelu-Urrutia
Glass;2019;USA;Thriller;tt6823368;7;nm0796117;M. Night Shyamalan
J'Accuse;2019;France;Historical;tt2398149;7.5;nm0000591;Roman Polanski
Saint Maud;2019;UK;Horror;tt7557108;7;nm3819217;Rose Glass
Richard Jewell;2019;USA;Historical;tt3513548;7.5;nm0000142;Clint Eastwood
1917;2019;USA;War;tt8579674;7.5;nm0005222;Sam Mendes
Avengers: Infinity War;2018;USA;Action;tt4154756;7.75;nm0751577;Anthony Russo
Solo: A Star Wars Story;2018;USA;Action;tt3778644;7.25;nm0000165;Ron Howard
Dylda, aka Beanpole;2019;Russia;Drama;tt10199640;7.5;nm8921482;Kantemir Balagov
Mandy;2018;USA;Horror;tt6998518;7.25;nm0181903;Panos Cosmatos
Annihilation;2018;USA;Horror;tt2798920;7.5;nm0307497;Alex Garland
A Simple Favor;2018;USA;Thriller;tt7040874;7;nm0082450;Paul Feig
Upgrade;2018;USA;Action;tt6499752;7;nm1191481;Leigh Whannell
Hereditary;2018;USA;Horror;tt7784604;8.5;nm4170048;Ari Aster
BlacKkKlansman;2018;USA;Thriller;tt7349662;7;nm0000490;Spike Lee
Arctic;2018;USA;Thriller;tt6820256;8;nm1020835;Joe Penna
The Ballad of Buster Scruggs;2018;USA;Western;tt6412452;8;nm0001053.nm0001054;Cohen Brothers
Leave No Trace;2018;USA;Drama;tt3892172;7.5;nm0335138;Debra Granik
Destroyer;2018;USA;Thriller;tt7137380;7.75;nm0476201;Karyn Kusama
Burning;2018;South Korea;Thriller;tt7282468;7.5;nm0496969;Chang-dong Lee
Ying, Shadow;2018;China;Action;tt6864046;7.25;nm0955443;Yimou Zhang
The Guilty;2018;USA;Drama;tt6742252;7.5;nm7546166;Gustav Möller
Spider-Man: Into the Spider-Verse;2018;USA;Action;tt4633694;8;nm2130108;Bob Persichetti
A Quiet Place;2018;USA;Horror;tt6644200;8.5;nm1024677;John Krasinski
The Wind;2018;USA;Horror;tt8426594;8.5;nm0849747;Emma Tammi
The House That Jack Built;2018;UK;Thriller;tt4003440;8.5;nm0001885;Lars von Trier
The Nightingale;2018;Australia;Historical;tt4068576;9;nm0448768;Jennifer Kent
First Man;2018;USA;Drama;tt1213641;8.25;nm3227090;Damien Chazelle
Roma;2018;Mexico;Drama;tt6155172;8;nm0190859;Alfonso Cuarón
Gerald's Game;2017;USA;Thriller;tt3748172;7;nm1093039;Mike Flanagan
Alien: Covenant;2017;USA;Horror;tt2316204;7;nm0000631;Ridley Scott
War for the Planet of the Apes;2017;USA;SciFi;tt3450958;7.5;nm0716257;Matt Reeves
Phantom Thread;2017;USA;Drama;tt5776858;7;nm0000759;Paul Thomas Anderson
It Comes at Night;2017;USA;Horror;tt4695012;7;nm4099092;Trey Edward Shults
Thor: Ragnarok;2017;USA;Action;tt3501632;7.5;nm0169806;Taika Waititi
Happy Death Day;2017;USA;Horror;tt5308322;7.25;nm0484907;Christopher Landon
Coco;2017;USA;Fantasy;tt2380307;7.75;nm0881279;Lee Unkrich
Blade of the Immortal;2017;Japan;Samurai;tt5084170;7.5;nm0586281;Takashi Miike
Three Billboards Outside Ebbing Missouri;2017;USA;Drama;tt5027774;7;nm1732981;Martin McDonagh
Baby Driver;2017;USA;Crime;tt3890160;7.25;nm0942367;Edgar Wright
Get Out;2017;USA;Horror;tt5052448;8;nm1443502;Jordan Peele
Dunkirk;2017;UK;War;tt5013056;7.5;nm0634240;Christopher Nolan
The Shape of Water;2017;USA;Drama;tt5580390;8.25;nm0868219;Guillermo del Toro
One Cut of the Dead;2017;Japan;Comedy;tt7914416;8.5;nm7643451;Yûya Nakaizumi
The Villainess;2017;South Korea;Action;tt6777338;7.5;nm3468066;Byung-gil Jung
Brawl In Cell Block 99;2017;USA;Action;tt5657856;8;nm0951975;S. Craig Zahler
First Reformed;2017;USA;Politics;tt6053438;8.5;nm0001707;Paul Schrader
Valerian, the City of a 1000 Planets;2017;France;Action;tt2239822;7.25;nm0000108;Luc Besson
The Captain;2017;Germany;War;tt6763252;7.5;nm0777881;Robert Schwentke
Atomic Blonde;2017;USA;Action;tt2406566;7.5;nm0500610;David Leitch
It;2017;USA;Horror;tt1396484;7.5;nm0615592;Andy Muschietti
Zama;2017;Argentina;Historical;tt3409848;7;nm0551506;Lucrecia Martel
Logan;2017;USA;Action;tt3315342;8.25;nm0003506;James Mangold
Wind River;2017;USA;Thriller;tt5362988;8.5;nm0792263;Taylor Sheridan
Blade Runner 2049;2017;USA;SciFi;tt1856101;9.5;nm0898288;Denis Villeneuve
The Wailing;2016;South Korea;Horror;tt5215952;7;nm2947553;Hong-jin Na
Shin Gojira;2016;Japan;Horror;tt4262980;7.25;nm0030417;Hideaki Anno
São Jorge;2016;Portugal;Drama;tt4895668;7.25;nm0554076;Marco Martins
Imperium;2016;USA;Thriller;tt4781612;7;nm2495732;Daniel Ragussis
Julieta;2016;Spain;Drama;tt4326444;7.25;nm0000264;Pedro Almodóvar
Elle;2016;France;Thriller;tt3716530;7.75;nm0000682;Paul Verhoeven
Raw;2016;France;Horror;tt4954522;7;nm4469445;Julia Ducournau
A Dark Song;2016;Ireland;Horror;tt4805316;7.25;nm2201016;Liam Gavin
Hush;2016;USA;Horror;tt5022702;7.75;nm1093039;Mike Flanagan
Hacksaw Ridge;2016;USA;War;tt2119532;7.25;nm0000154;Mel Gibson
Split;2016;USA;Horror;tt4972582;7.5;nm0796117;M. Night Shyamalan
Don't Breathe;2016;USA;Horror;tt4160708;8;nm1793079;Fede Alvarez
Captain America: Civil War;2016;USA;Action;tt3498820;7.25;nm0751577;Anthony Russo
Captain Fantastic;2016;USA;Comedy;tt3553976;8;nm0743671;Matt Ross
Anthropoid;2016;Czech Republic;War;tt4190530;7.25;nm1193346;Sean Ellis
Geumul;2016;South Korea;Politics;tt5996202;7.25;nm1104118;Ki-duk Kim
The Salesman;2016;Iran;Drama;tt5186714;8;nm1410815;Asghar Farhadi
Silence;2016;USA;Historical;tt0490215;7.5;nm0000217;Martin Scorsese
Rogue One;2016;USA;Fantasy;tt3748528;7.75;nm2284484;Gareth Edwards
The Autopsy of Jane Doe;2016;USA;Horror;tt3289956;7.5;nm0004217;André Øvredal
Hell or High Water;2016;USA;Drama;tt2582782;7.75;nm0533284;David Mackenzie
Train to Busan;2016;South Korea;Horror;tt5700672;8.25;nm3613566;Sang-ho Yeon
Manchester by the Sea;2016;USA;Drama;tt4034228;7.5;nm0518836;Kenneth Lonergan
Arrival;2016;USA;SciFi;tt2543164;9.25;nm0898288;Denis Villeneuve
The Handmaiden;2016;South Korea;Drama;tt4016934;9.25;nm0661791;Chan-wook Park
Spotlight;2015;USA;Politics;tt1895587;7;nm0565336;Tom McCarthy
Shaun the Sheep;2015;UK;Comedy;tt2872750;7.5;nm0123666;Mark Burton
